ID,age,years_of_schooling,disable_person,gender,marital_status,in_house_position,education_level,region,area,house_owned_status,monthly_rent_payment,bedrooms,bathrooms,condition_roof,condition_floor,condition_walls,material_outside_wall,floor_material,roof_material,water_provision,electricity,toilet,cooking_energy,rubbish_disposal,Household_level_identifier,household_size,males_younger_12,males_older_12,female_younger_12,female_older_12,children_0_to_19,adult_below_65,adult_above_65,edu_male_head_years,edu_female_head_years,edu_avg_above_18,refrigerator,no_of_tablets,computer,television,mobilephone,no_of_mobile_phone,overcrowding,dependency,Target
ID_279628684,43.0,10.0,0.0,1.0,4.0,1.0,4.0,1.0,1.0,3.0,190000.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,21eb7fcc1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10,0,10.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,4.0
ID_f29eb3ddd,67.0,12.0,0.0,1.0,4.0,1.0,8.0,1.0,1.0,3.0,135000.0,1.0,3.0,2.0,2.0,2.0,5.0,6.0,1.0,2.0,1.0,2.0,2.0,1.0,0e5d7a658,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12,0,12.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,8,4.0
ID_68de51c94,92.0,11.0,1.0,2.0,6.0,1.0,0.0,1.0,1.0,1.0,150000.0,2.0,6.0,3.0,3.0,2.0,5.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2c7317ea8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,11,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,8,4.0
ID_d671db89c,17.0,9.0,0.0,1.0,7.0,3.0,4.0,1.0,1.0,3.0,180000.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2b58d945f,4.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,11,0,11.0,1.0,1.0,0.0,0.0,1.0,3.0,1.3333334,1,4.0
ID_d56d6f5f5,37.0,11.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0,180000.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2b58d945f,4.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,11,0,11.0,1.0,1.0,0.0,0.0,1.0,3.0,1.3333334,1,4.0
ID_ec05b1a7b,38.0,11.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,3.0,180000.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2b58d945f,4.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,11,0,11.0,1.0,1.0,0.0,0.0,1.0,3.0,1.3333334,1,4.0
ID_e9e0c1100,8.0,2.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,180000.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2b58d945f,4.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,11,0,11.0,1.0,1.0,0.0,0.0,1.0,3.0,1.3333334,1,4.0
ID_3e04e571e,7.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,130000.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,d6dae86b7,4.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,9,0,10.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,1,4.0
ID_1284f8aad,30.0,9.0,0.0,1.0,2.0,1.0,4.0,1.0,1.0,3.0,130000.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,d6dae86b7,4.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,9,0,10.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,1,4.0
ID_51f52fdd2,28.0,11.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0,130000.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,d6dae86b7,4.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,9,0,10.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,1,4.0
ID_db44f5c59,11.0,3.0,0.0,2.0,7.0,3.0,2.0,1.0,1.0,3.0,130000.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,d6dae86b7,4.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,9,0,10.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,1,4.0
ID_de822510c,18.0,12.0,0.0,2.0,7.0,3.0,13.0,1.0,1.0,2.0,100000.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,bb2094100,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0,11,23.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1,4.0
ID_d94071d7c,34.0,11.0,0.0,2.0,5.0,1.0,0.0,1.0,1.0,2.0,100000.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,bb2094100,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0,11,23.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1,4.0
ID_064b57869,79.0,4.0,0.0,2.0,6.0,1.0,2.0,1.0,1.0,1.0,150000.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,c51f9c774,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0,4,9.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1,4.0
ID_5c837d8a4,39.0,15.0,0.0,1.0,7.0,3.0,8.0,1.0,1.0,1.0,150000.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,c51f9c774,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0,4,9.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1,4.0
ID_0a39e419e,19.0,11.0,0.0,1.0,5.0,3.0,0.0,1.0,1.0,3.0,90000.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,1.0,2.0,1.0,2.0,2.0,1.0,6893e65ca,4.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0,10,17.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,3,4.0
ID_4ff51f90c,70.0,2.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,90000.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,1.0,2.0,1.0,2.0,2.0,1.0,6893e65ca,4.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0,10,17.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,3,4.0
